root	mode	group	vs_2026_09_17	first_line
testdir:escape_unsafe.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:finprofiled.go	interpreted	excluded:gc-observation		got 464 want >= 4194272
testdir:fixedbugs/bug246.go	interpreted	G4-language-type-gaps		BASHPP-EUNSAFE-ADDRESS: unsafe.Pointer operand is not an interpreter-owned live pointer (BASHPP-EPOINTER-TARGET: addr is not a pointer)
testdir:fixedbugs/bug260.go	interpreted	G6-runtime-one-offs		exit status 1
testdir:fixedbugs/bug385_64.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/bug398.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/bug513.go	interpreted	excluded:unsafe-reinterpretation		fixedbugs/bug513.go:20:7: fixedbugs/bug513.go:20:57: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:fixedbugs/bug514.go	interpreted	excluded:cgo		bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue11256.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue11656.go	interpreted	excluded:unsafe-reinterpretation		BASHPP-ECOLLECTION-ELEMENT: <run>:70:31: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:fixedbugs/issue11771.go	compiled	G1-import-resolution	new	fixedbugs/issue11771.go:52:2: LOWER-EUNDEFINED: undefined: fs
testdir:fixedbugs/issue11771.go	interpreted	G1-import-resolution	new	fixedbugs/issue11771.go:52:70: BASHPP-EEXPR-CONVERT: cannot convert Int to fs.FileMode
testdir:fixedbugs/issue12006.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue12588.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue13169.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue13587.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue13799.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue14999.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue15277.go	interpreted	G6-runtime-one-offs		signal: killed
testdir:fixedbugs/issue15281.go	interpreted	excluded:gc-observation		gosource: non-nil reference print is not implemented
testdir:fixedbugs/issue15329.go	interpreted	G4-language-type-gaps		fixedbugs/issue15329.go:44:2: fixedbugs/issue15329.go:44:8: BASHPP-EUNSAFE-ADDRESS: uintptr 28448539625528 is not an interpreter-owned live pointer; refusing conversion to unsafe.Pointer
